Latitude (generated),Longitude (generated),start_year,Start_month,Gis Acres,Cause
32.55260177,-116.9310219,1980,8,168,9
32.5656603,-116.7980791,1980,11,85,14
32.56738171,-116.9017111,1980,8,112,14
32.57596152,-116.9290287,1980,7,266,9
32.58307304,-116.9990348,1980,7,39,14
32.59000372,-116.5857949,1980,4,48,14
32.6316058,-116.7476866,1980,6,22,14
32.63231842,-116.1179296,1980,10,25,9
32.63702602,-116.91686,1980,11,133,9
32.64059903,-116.6319431,1980,8,32,14
32.64832821,-116.8811108,1980,7,3314,14
32.66795209,-116.90655,1980,11,2300,14
32.67496622,-116.8249788,1980,10,130,9
32.72485207,-116.9511439,1980,6,57,14
32.86118387,-116.3523679,1980,7,189,1
32.87054402,-116.9577606,1980,8,75,9
32.89140836,-117.0042546,1980,8,745,14
32.95545502,-116.7504663,1980,9,434,2
32.95862277,-117.0845913,1980,11,1175,14
32.96924848,-117.0141219,1980,10,34,9
33.07221743,-117.2182151,1980,7,75,9
33.07722362,-116.7027857,1980,12,66,9
33.0835089,-116.913124,1980,11,53,14
33.08704102,-117.1372315,1980,9,47,9
33.09918237,-117.0029254,1980,11,78,9
33.17027229,-116.4874884,1980,7,814,1
33.23215035,-116.4256882,1980,7,769,1
33.24684862,-116.664739,1980,7,327,1
33.34350754,-116.4357578,1980,7,5998,1
33.37266631,-117.0525795,1980,6,106,2
33.38988298,-116.5080259,1980,7,2701,14
33.44634246,-117.4071167,1980,10,86,9
33.49082095,-116.7844967,1980,7,362,14
33.49883258,-117.0616979,1980,7,110,14
33.54449557,-117.3453055,1980,11,31447,14
33.54450484,-116.8627316,1980,7,1,9
33.67148795,-117.5199125,1980,11,28940,9
33.74041835,-117.3838944,1980,11,1216,14
33.76852635,-116.5863357,1980,8,41756,14
33.85669414,-117.0012217,1980,8,501,14
33.87874993,-117.4745764,1980,7,985,14
33.8891366,-116.8637914,1980,7,10,7
33.89614877,-117.4267154,1980,7,201,14
33.94117794,-117.8324097,1980,11,6955,14
33.94571018,-116.6501115,1980,5,397,14
33.96101667,-117.2915127,1980,7,384,14
33.96108816,-116.6540008,1980,5,335,14
33.96702384,-117.2849782,1980,9,1587,14
33.97277672,-117.1925181,1980,10,349,14
33.97837644,-117.0161742,1980,6,924,14
33.98165829,-117.1757139,1980,10,3,14
33.98311914,-117.184004,1980,10,0,14
33.9841637,-117.1917416,1980,10,11,14
33.99499232,-117.2969585,1980,3,589,14
33.99583294,-117.2140399,1980,7,824,14
33.99768814,-116.6649735,1980,7,1360,14
34.00335136,-117.1833205,1980,7,441,14
34.01517779,-117.4064676,1980,6,227,14
34.0245029,-117.2548979,1980,10,1729,14
34.02673903,-118.8225897,1980,11,19,14
34.03014955,-117.4185452,1980,6,261,14
34.0382267,-116.5107475,1980,6,257,14
34.05747793,-116.3838407,1980,7,42,1
34.06470897,-116.2850958,1980,8,70,1
34.07041993,-118.544187,1980,11,100,14
34.07613136,-117.7928641,1980,5,163,Prescribed Burn
34.07719281,-117.0529018,1980,10,107,7
34.07909012,-117.7872347,1980,5,16,Prescribed Burn
34.08157487,-117.2519089,1980,11,445,14
34.08469654,-117.8028433,1980,5,38,Prescribed Burn
34.09583625,-118.4739222,1980,10,9,14
34.09677732,-118.8033426,1980,11,20,14
34.10794487,-118.481872,1980,10,3,14
34.12263473,-118.6925027,1980,11,2521,14
34.12417738,-118.2906628,1980,10,17,14
34.1465487,-117.6866337,1980,8,201,14
34.14900242,-117.1694474,1980,11,3479,14
34.16295625,-118.195767,1980,1,6,14
34.1641402,-116.4479928,1980,8,355,14
34.16758631,-117.9374508,1980,11,6049,14
34.17388044,-118.6635604,1980,11,88,14
34.17760613,-116.5688226,1980,7,2003,14
34.17908831,-117.4948253,1980,11,4368,14
34.18107186,-118.262365,1980,10,22,14
34.1817915,-118.2710858,1980,10,9,14
34.18589081,-117.1832735,1980,7,14,3
34.18978539,-118.9867697,1980,10,11975,14
34.2056408,-117.8378913,1980,4,2898,14
34.21822569,-117.3285566,1980,11,23626,14
34.22225375,-118.3201763,1980,11,6457,14
34.22997069,-117.6521826,1980,11,10009,2
34.2769939,-118.3334756,1980,11,267,14
34.29833322,-118.3977713,1980,10,27,14
34.30715152,-118.5566903,1980,12,63,14
34.3074662,-118.5405347,1980,11,67,14
34.31570975,-119.0423072,1980,10,2395,14
34.34072033,-117.0701368,1980,7,253,14
34.36678802,-118.3437419,1980,4,867,14
34.38773574,-118.3267086,1980,6,8,14
34.40973971,-118.406075,1980,7,115,14
34.41240341,-117.1807194,1980,7,2050,14
34.43046746,-119.5659305,1980,2,77,14
34.43083615,-117.5463873,1980,7,35,14
34.43463534,-117.5397761,1980,7,66,14
34.43528543,-118.4601913,1980,7,64,14
34.43608333,-117.5493257,1980,7,137,14
34.44354745,-118.4082466,1980,7,1080,14
34.44360742,-118.3811908,1980,7,17,14
34.4653487,-118.5144174,1980,6,13,14
34.47365417,-117.9939676,1980,7,1337,14
34.47482265,-118.3850395,1980,11,228,14
34.47508065,-118.1068103,1980,10,773,14
34.47589914,-118.3267055,1980,6,7,14
34.47875435,-118.5555979,1980,11,247,14
34.47998694,-118.0607432,1980,9,105,14
34.48762598,-118.3947247,1980,7,461,14
34.49127079,-118.2118532,1980,7,65,14
34.49395667,-118.1927769,1980,8,7,14
34.49661281,-118.4424893,1980,7,18,14
34.50078801,-118.4391759,1980,7,9,14
34.50228914,-118.0514486,1980,7,7604,14
34.5191768,-118.4539882,1980,10,900,14
34.53636371,-118.5964926,1980,5,13,14
34.53684619,-118.5988065,1980,5,15,14
34.54967958,-117.0248643,1980,7,10957,14
34.55547196,-118.0518013,1980,6,105,14
34.56851848,-118.0395011,1980,6,125,14
