Year,Month,fire_number,area_burned,lg(area_burned)
1980,1,2,7,0.84509804
1980,2,1,77,1.886490725
1980,3,2,903,2.95568775
1980,4,6,4310,3.63447727
1980,5,12,1193,3.076640444
1980,6,30,5860,3.767897616
1980,7,75,70067,4.845513523
1980,8,43,57807,4.761980431
1980,9,37,28529,4.455286549
1980,10,49,25775,4.411198674
1980,11,30,136612,5.135488849
1980,12,7,1558,3.192567453
1981,1,4,1416,3.151063253
1981,2,2,1306,3.115943177
1981,3,0,0,0
1981,4,4,746,2.872738827
1981,5,7,3219,3.507720977
1981,6,61,131033,5.117380684
1981,7,58,27867,4.445090218
1981,8,69,90128,4.954859734
1981,9,40,35700,4.552668216
1981,10,21,25190,4.401228167
1981,11,5,375,2.574031268
1981,12,2,522,2.717670503
1982,1,1,879,2.943988875
1982,2,1,51,1.707570176
1982,3,0,0,0
1982,4,1,78,1.892094603
1982,5,10,4278,3.63124078
1982,6,14,7613,3.88155583
1982,7,35,17856,4.251784177
1982,8,47,21559,4.333628613
1982,9,39,18701,4.27186483
1982,10,30,77929,4.891699103
1982,11,3,435,2.638489257
1982,12,0,0,0
1983,1,4,2331,3.367542274
1983,2,0,0,0
1983,3,0,0,0
1983,4,1,23,1.361727836
1983,5,8,5981,3.776773802
1983,6,28,15770,4.197831693
1983,7,68,41750,4.62065648
1983,8,36,21410,4.330616667
1983,9,24,13504,4.130462429
1983,10,21,4245,3.627877695
1983,11,2,130,2.113943352
1983,12,0,0,0
1984,1,4,5777,3.761702368
1984,2,0,0,0
1984,3,3,1978,3.296226287
1984,4,10,4239,3.627263417
1984,5,47,51160,4.708930536
1984,6,26,41781,4.62097883
1984,7,49,48505,4.685786509
1984,8,42,31214,4.494349426
1984,9,27,15481,4.189799011
1984,10,10,11862,4.07415792
1984,11,4,333,2.522444234
1984,12,0,0,0
1985,1,1,167,2.222716471
1985,2,0,0,0
1985,3,0,0,0
1985,4,4,722,2.858537198
1985,5,7,3256,3.512684396
1985,6,33,66528,4.823004468
1985,7,79,375733,5.57487934
1985,8,43,22949,4.360763766
1985,9,11,3639,3.560982056
1985,10,27,71211,4.852547085
1985,11,1,14,1.146128036
1985,12,2,431,2.63447727
1986,1,2,3860,3.586587305
1986,2,1,258,2.411619706
1986,3,1,12140,4.084218687
1986,4,1,1286,3.109240969
1986,5,6,5427,3.734559822
1986,6,31,13652,4.13519628
1986,7,48,23598,4.372875197
1986,8,49,16255,4.210986974
1986,9,22,19803,4.296730987
1986,10,14,9949,3.997779431
1986,11,8,18140,4.258637283
1986,12,4,1733,3.238798563
1987,1,1,346,2.539076099
1987,2,4,4416,3.645029065
1987,3,1,600,2.77815125
1987,4,10,13676,4.135959092
1987,5,24,19539,4.290902333
1987,6,26,13587,4.133123575
1987,7,38,21658,4.335618349
1987,8,112,620461,5.792714488
1987,9,40,137114,5.137081801
1987,10,18,30581,4.485451683
1987,11,3,1130,3.053078443
1987,12,2,400,2.602059991
1988,1,3,7807,3.892484179
1988,2,1,28,1.447158031
1988,3,8,1475,3.16879202
1988,4,6,3923,3.593618308
1988,5,15,4797,3.680969718
1988,6,36,28674,4.457488281
1988,7,54,60917,4.784738507
1988,8,48,29363,4.467800425
1988,9,37,148165,5.170745625
1988,10,14,10611,4.025756315
1988,11,2,785,2.894869657
1988,12,17,10667,4.028042295
1989,1,3,3348,3.524785449
1989,2,3,3530,3.547774705
1989,3,0,0,0
1989,4,8,1423,3.1532049
1989,5,8,1827,3.261738547
1989,6,36,19759,4.295764961
1989,7,36,58384,4.766293846
1989,8,29,17366,4.239699797
1989,9,22,10137,4.005909446
1989,10,19,22439,4.351003499
1989,11,18,4778,3.679246145
1989,12,19,715,2.854306042
1990,1,6,865,2.937016107
1990,2,3,3358,3.526080692
1990,3,5,6201,3.792461731
1990,4,9,3603,3.556664262
1990,5,4,221,2.344392274
1990,6,34,23074,4.363122888
1990,7,19,13300,4.123851641
1990,8,52,261942,5.418205139
1990,9,19,34668,4.539928788
1990,10,40,12063,4.081455328
1990,11,10,2288,3.35945602
1990,12,4,535,2.728353782
1991,1,15,9724,3.98784495
1991,2,4,2484,3.395151592
1991,3,0,0,0
1991,4,5,819,2.913283902
1991,5,1,2,0.301029996
1991,6,5,2550,3.40654018
1991,7,13,1238,3.092720645
1991,8,13,4984,3.697578034
1991,9,26,14717,4.16781929
1991,10,17,19448,4.288874946
1991,11,10,2001,3.301247089
1991,12,1,806,2.906335042
1992,1,1,227,2.356025857
1992,2,2,423,2.626340367
1992,3,1,14,1.146128036
1992,4,3,7071,3.849480837
1992,5,10,4706,3.672651923
1992,6,40,12329,4.090927853
1992,7,31,13788,4.139501275
1992,8,38,118431,5.073465396
1992,9,27,46532,4.667751719
1992,10,12,2747,3.438858659
1992,11,6,2599,3.41480628
1992,12,0,0,0
1993,1,0,0,0
1993,2,0,0,0
1993,3,1,4833,3.684216795
1993,4,0,0,0
1993,5,27,22959,4.360952968
1993,6,48,41105,4.613894653
1993,7,18,5996,3.777861624
1993,8,25,11110,4.045714059
1993,9,29,50210,4.700790221
1993,10,28,166625,5.221740162
1993,11,14,24745,4.393487458
1993,12,2,767,2.884795364
1994,1,4,3395,3.530839779
1994,2,0,0,0
1994,3,5,777,2.890421019
1994,4,4,2406,3.381295623
1994,5,8,3116,3.493597449
1994,6,50,46533,4.667761053
1994,7,58,75808,4.879715039
1994,8,46,138569,5.141666083
1994,9,23,58611,4.767979131
1994,10,23,13244,4.122019172
1994,11,4,28319,4.452077913
1994,12,5,1060,3.025305865
1995,1,0,0,0
1995,2,1,562,2.749736316
1995,3,0,0,0
1995,4,2,93,1.968482949
1995,5,9,4173,3.620448385
1995,6,19,27474,4.438921894
1995,7,57,42668,4.630102286
1995,8,45,70027,4.845265521
1995,9,41,15392,4.187295055
1995,10,30,36006,4.556374877
1995,11,16,5338,3.727378569
1995,12,5,1236,3.092018471
1996,1,5,3769,3.576226137
1996,2,4,156,2.193124598
1996,3,0,0,0
1996,4,14,43944,4.642899586
1996,5,23,14140,4.150449409
1996,6,63,44099,4.644428741
1996,7,56,50058,4.699473494
1996,8,91,404329,5.606734892
1996,9,27,13860,4.14176323
1996,10,32,83141,4.919815244
1996,11,9,1145,3.058805487
1996,12,2,477,2.678518379
1997,1,10,974,2.988558957
1997,2,0,0,0
1997,3,2,345,2.537819095
1997,4,7,1094,3.039017322
1997,5,44,18746,4.272908613
1997,6,20,13558,4.13219563
1997,7,37,14005,4.146283113
1997,8,39,133001,5.123854906
1997,9,42,28177,4.449894752
1997,10,27,10393,4.016740927
1997,11,8,1559,3.192846115
1997,12,0,0,0
1998,1,0,0,0
1998,2,0,0,0
1998,3,0,0,0
1998,4,1,9,0.954242509
1998,5,2,509,2.706717782
1998,6,14,2966,3.472171147
1998,7,40,21713,4.336719832
1998,8,49,39217,4.593474368
1998,9,30,14495,4.16121822
1998,10,55,87284,4.940934641
1998,11,6,818,2.912753304
1998,12,1,110,2.041392685
1999,1,4,308,2.488550717
1999,2,7,3387,3.529815197
1999,3,5,6650,3.822821645
1999,4,5,1654,3.218535505
1999,5,14,16848,4.226548354
1999,6,27,19074,4.280441778
1999,7,54,42763,4.631068165
1999,8,97,442095,5.645515603
1999,9,30,162847,5.211779762
1999,10,30,98388,4.992942132
1999,11,13,1311,3.117602692
1999,12,15,9187,3.963173716
2000,1,6,5655,3.752432609
2000,2,4,1050,3.021189299
2000,3,10,3602,3.556543708
2000,4,9,350,2.544068044
2000,5,7,918,2.962842681
2000,6,34,12220,4.087071206
2000,7,48,116307,5.065605854
2000,8,42,80850,4.907680024
2000,9,28,29659,4.472156504
2000,10,17,6933,3.8409212
2000,11,2,3981,3.599992178
2000,12,3,90,1.954242509
2001,1,5,10746,4.031246836
2001,2,1,262,2.418301291
2001,3,1,10,1
2001,4,4,495,2.694605199
2001,5,34,11919,4.07623982
2001,6,83,33469,4.524642737
2001,7,49,27584,4.440657244
2001,8,51,120889,5.082386785
2001,9,32,34483,4.537605042
