,VPD,T-max,PDSI,,number of fire,area burned,
1980,0.5472,13.81923333,1.337566667,,18,2319 ,3.365300749
1981,0.561233333,14.36226667,-2.346,,13,4280 ,3.631443769
1982,0.489566667,12.5176,0.204366667,,4,1452 ,3.161966616
1983,0.447433333,12.07876667,4.4759,,4,2331 ,3.367542274
1984,0.5376,13.16613333,5.204833333,,4,5777 ,3.761702368
1985,0.485666667,11.72723333,1.627133333,,1,167 ,2.222716471
1986,0.5561,13.82173333,0.094466667,,5,4549 ,3.657915937
1987,0.498566667,12.75266667,-1.685366667,,9,6495 ,3.812579155
1988,0.528633333,13.14733333,-0.777566667,,6,8235 ,3.915663604
1989,0.469966667,11.86526667,-2.1273,,23,17545 ,4.244153373
1990,0.486633333,12.90806667,-2.3521,,28,4938 ,3.693551086
1991,0.549233333,13.6731,-3.498366667,,23,12743 ,4.105271683
1992,0.467,13.11193333,-1.4618,,4,1456 ,3.163161375
1993,0.448633333,10.9534,2.161766667,,0,0 ,0
1994,0.5035,12.95613333,-1.257733333,,6,4162 ,3.619302076
1995,0.479866667,12.9783,0.832033333,,6,1622 ,3.21005085
1996,0.5474,13.84663333,0.385833333,,14,5161 ,3.712733859
1997,0.500233333,12.7877,2.028333333,,12,1451 ,3.161667412
1998,0.433266667,11.69693333,1.935733333,,0,0 ,0
1999,0.462566667,11.71523333,2.299333333,,12,3805 ,3.580354661
2000,0.506266667,13.31726667,-1.846,,25,15892 ,4.201178556
2001,0.491,12.2636,-1.6126,,9,11098 ,4.04524472
2002,0.4988,12.49786667,-1.155233333,,12,12707 ,4.10404303
2003,0.509033333,13.4062,-1.398133333,,11,1226 ,3.08849047
2004,0.448633333,11.86213333,-0.1377,,50,5559 ,3.744996674
2005,0.425866667,12.0033,2.666533333,,26,1322 ,3.121231455
2006,0.522966667,13.3668,1.409333333,,21,16681 ,4.222222082
2007,0.4878,12.3041,-1.830933333,,55,25791 ,4.411468181
2008,0.439733333,11.36836667,-2.114166667,,29,3836 ,3.583878598
2009,0.489466667,12.40846667,-3.1087,,30,11992 ,4.07889162
2010,0.445066667,11.89136667,-1.442366667,,6,375 ,2.574031268
2011,0.489733333,12.54626667,1.188366667,,15,1352 ,3.130976692
2012,0.534866667,13.4637,-1.618033333,,59,4470 ,3.650307523
2013,0.462866667,12.31396667,-0.771466667,,24,3726 ,3.571242851
2014,0.5987,14.6115,-3.7659,,44,8474 ,3.92808846
2015,0.585,15.2745,-2.501,,49,10911 ,4.037864556
2016,0.535166667,13.72213333,-1.416633333,,16,1985 ,3.297760511
2017,0.440033333,13.05033333,3.044633333,,20,1040 ,3.017033339
2018,0.691333333,14.7719,-2.159633333,,81,338242 ,5.529227534
2019,0.455933333,12.43083333,-0.288766667,,3,223 ,2.348304863
2020,0.546533333,13.86843333,0.035533333,,13,720 ,2.857415388
2021,0.603466667,13.4595,-3.7266,,44,12496 ,4.096784432
