,"(kPa) Vapor Pressure Deficit (TerraClimate) at California, Sep to Nov",Max T,PDSI,,fire number,burned area,
1980,1.3453,23.9912,-0.0379,,116,190916,5.280842327
1981,1.2459,22.6316,-0.924133333,,66,61265,4.787212438
1982,1.1156,21.1784,3.348866667,,72,97065,4.987062659
1983,1.2737,22.9309,6.211766667,,47,17879,4.252343224
1984,1.2472,22.1246,1.2333,,41,27676,4.442103322
1985,1.0976,20.8369,-0.8173,,39,74864,4.874273028
1986,1.1385,22.3376,0.337266667,,44,47892,4.680262974
1987,1.3658,23.886,-1.845033333,,61,168825,5.227436758
1988,1.3654,23.9336,-1.8726,,53,159561,5.202926749
1989,1.2761,23.2372,-0.560633333,,59,37354,4.572337114
1990,1.3319,24.082,-1.963733333,,69,49019,4.690364447
1991,1.4921,25.0276,-1.2904,,53,36166,4.558300478
1992,1.3605,23.8984,-0.927333333,,45,51878,4.714983225
1993,1.3471,23.5536,1.031533333,,71,241580,5.383060977
1994,1.229,21.8697,-2.0301,,50,100174,5.000755016
1995,1.4339,25.2431,1.398066667,,87,56736,4.753858714
1996,1.2501,22.8224,0.4882,,68,98146,4.991872604
1997,1.2383,23.0083,-0.275566667,,77,40129,4.603458337
1998,1.1435,21.4679,4.0053,,91,102597,5.011134662
1999,1.3323,23.7849,-0.7224,,73,262546,5.419205406
2000,1.2145,21.1857,-0.374433333,,47,40573,4.608237121
2001,1.3101,23.2168,-1.728133333,,70,52411,4.719422446
2002,1.2517,22.7043,-2.858233333,,105,92508,4.966179292
2003,1.2966,23.0599,-0.178166667,,171,795947,5.90088415
2004,1.1728,21.5938,-0.406633333,,111,97344,4.988309188
2005,1.2122,22.4441,2.029666667,,318,104947,5.020970028
2006,1.2053,22.3632,0.2353,,166,317899,5.502289162
2007,1.1982,22.332,-2.921133333,,174,637429,5.804431818
2008,1.3242,23.7526,-3.3351,,172,117537,5.070174602
2009,1.2657,22.8443,-2.7204,,149,56200,4.749736316
2010,1.2474,22.7233,0.195666667,,128,21789,4.338237299
2011,1.2863,22.7362,0.6901,,240,134986,5.130288728
2012,1.3346,23.8794,-0.976666667,,126,54206,4.734047361
2013,1.2278,22.9292,-2.570266667,,131,32076,4.506180205
2014,1.3624,24.6355,-3.181833333,,97,108789,5.036584985
2015,1.3595,24.0428,-1.961566667,,100,160230,5.204743833
2016,1.3402,23.8113,-0.1909,,101,39426,4.595782718
2017,1.347,24.1662,2.311033333,,234,309817,5.491105244
2018,1.4569,23.8722,-2.4131,,155,405100,5.607562243
2019,1.4681,23.1986,1.368166667,,128,220168,5.342754197
2020,1.571,24.8164,-2.5345,,85,900848.0464,5.954651541
2021,1.409,23.7774,-11.0891,,39,214029,5.330472622
