TIMESTEP,Month,MEAN(mm),month
1970-01-15T00:00:00Z,1,205.40778,1970/1/15
1970-02-15T00:00:00Z,2,90.881584,1970/2/15
1970-03-15T00:00:00Z,3,51.604965,1970/3/15
1970-04-15T00:00:00Z,4,57.67249,1970/4/15
1970-05-15T00:00:00Z,5,22.267174,1970/5/15
1970-06-15T00:00:00Z,6,12.394253,1970/6/15
1970-07-15T00:00:00Z,7,4.5755544,1970/7/15
1970-08-15T00:00:00Z,8,8.4393425,1970/8/15
1970-09-15T00:00:00Z,9,5.3606133,1970/9/15
1970-10-15T00:00:00Z,10,13.876542,1970/10/15
1970-11-15T00:00:00Z,11,57.65376,1970/11/15
1970-12-15T00:00:00Z,12,2.1073465,1970/12/15
1971-01-15T00:00:00Z,1,103.736176,1971/1/15
1971-02-15T00:00:00Z,2,162.43031,1971/2/15
1971-03-15T00:00:00Z,3,90.39179,1971/3/15
1971-04-15T00:00:00Z,4,39.32315,1971/4/15
1971-05-15T00:00:00Z,5,12.43559,1971/5/15
1971-06-15T00:00:00Z,6,7.962562,1971/6/15
1971-07-15T00:00:00Z,7,2.6244392,1971/7/15
1971-08-15T00:00:00Z,8,3.527219,1971/8/15
1971-09-15T00:00:00Z,9,7.914383,1971/9/15
1971-10-15T00:00:00Z,10,32.404655,1971/10/15
1971-11-15T00:00:00Z,11,166.62495,1971/11/15
1971-12-15T00:00:00Z,12,102.9455,1971/12/15
1972-01-15T00:00:00Z,1,74.12237,1972/1/15
1972-02-15T00:00:00Z,2,14.29947,1972/2/15
1972-03-14T00:00:00Z,3,82.88502,1972/3/14
1972-04-14T00:00:00Z,4,23.600742,1972/4/14
1972-05-14T00:00:00Z,5,18.370396,1972/5/14
1972-06-14T00:00:00Z,6,4.5365376,1972/6/14
1972-07-14T00:00:00Z,7,5.0212297,1972/7/14
1972-08-14T00:00:00Z,8,1.5376309,1972/8/14
1972-09-14T00:00:00Z,9,3.0921085,1972/9/14
1972-10-14T00:00:00Z,10,56.00136,1972/10/14
1972-11-14T00:00:00Z,11,175.27135,1972/11/14
1972-12-14T00:00:00Z,12,111.88698,1972/12/14
1973-01-14T00:00:00Z,1,211.96523,1973/1/14
1973-02-14T00:00:00Z,2,186.36647,1973/2/14
1973-03-14T00:00:00Z,3,147.50673,1973/3/14
1973-04-14T00:00:00Z,4,19.264803,1973/4/14
1973-05-14T00:00:00Z,5,8.813456,1973/5/14
1973-06-14T00:00:00Z,6,5.979001,1973/6/14
1973-07-14T00:00:00Z,7,3.8383613,1973/7/14
1973-08-14T00:00:00Z,8,2.2333195,1973/8/14
1973-09-14T00:00:00Z,9,4.85035,1973/9/14
1973-10-14T00:00:00Z,10,20.760603,1973/10/14
1973-11-14T00:00:00Z,11,64.804054,1973/11/14
1973-12-14T00:00:00Z,12,103.55762,1973/12/14
1974-01-14T00:00:00Z,1,51.398544,1974/1/14
1974-02-14T00:00:00Z,2,188.19643,1974/2/14
1974-03-14T00:00:00Z,3,75.95264,1974/3/14
1974-04-14T00:00:00Z,4,42.262665,1974/4/14
1974-05-14T00:00:00Z,5,25.109865,1974/5/14
1974-06-14T00:00:00Z,6,9.12287,1974/6/14
1974-07-14T00:00:00Z,7,3.8433807,1974/7/14
1974-08-14T00:00:00Z,8,17.601944,1974/8/14
1974-09-14T00:00:00Z,9,6.5309944,1974/9/14
1974-10-14T00:00:00Z,10,181.13025,1974/10/14
1974-11-14T00:00:00Z,11,73.95423,1974/11/14
1974-12-14T00:00:00Z,12,155.73709,1974/12/14
1975-01-14T00:00:00Z,1,69.01286,1975/1/14
1975-02-14T00:00:00Z,2,57.195038,1975/2/14
1975-03-14T00:00:00Z,3,84.61449,1975/3/14
1975-04-14T00:00:00Z,4,75.41283,1975/4/14
1975-05-14T00:00:00Z,5,13.99487,1975/5/14
1975-06-14T00:00:00Z,6,3.992358,1975/6/14
1975-07-14T00:00:00Z,7,9.235687,1975/7/14
1975-08-14T00:00:00Z,8,20.146105,1975/8/14
1975-09-14T00:00:00Z,9,12.003427,1975/9/14
1975-10-14T00:00:00Z,10,29.971766,1975/10/14
1975-11-14T00:00:00Z,11,29.532085,1975/11/14
1975-12-14T00:00:00Z,12,11.286328,1975/12/14
1976-01-14T00:00:00Z,1,64.81985,1976/1/14
1976-02-14T00:00:00Z,2,83.64218,1976/2/14
1976-03-13T00:00:00Z,3,94.521095,1976/3/13
1976-04-13T00:00:00Z,4,7.7289333,1976/4/13
1976-05-13T00:00:00Z,5,12.218726,1976/5/13
1976-06-13T00:00:00Z,6,18.32639,1976/6/13
1976-07-13T00:00:00Z,7,4.3286214,1976/7/13
1976-08-13T00:00:00Z,8,4.500102,1976/8/13
1976-09-13T00:00:00Z,9,2.8250904,1976/9/13
1976-10-13T00:00:00Z,10,25.910698,1976/10/13
1976-11-13T00:00:00Z,11,166.69559,1976/11/13
1976-12-13T00:00:00Z,12,20.34436,1976/12/13
1977-01-13T00:00:00Z,1,178.1878,1977/1/13
1977-02-13T00:00:00Z,2,57.25346,1977/2/13
1977-03-13T00:00:00Z,3,65.19511,1977/3/13
1977-04-13T00:00:00Z,4,41.156136,1977/4/13
1977-05-13T00:00:00Z,5,10.331526,1977/5/13
1977-06-13T00:00:00Z,6,8.856836,1977/6/13
1977-07-13T00:00:00Z,7,3.9698105,1977/7/13
1977-08-13T00:00:00Z,8,2.0341203,1977/8/13
1977-09-13T00:00:00Z,9,14.607411,1977/9/13
1977-10-13T00:00:00Z,10,10.281748,1977/10/13
1977-11-13T00:00:00Z,11,75.75129,1977/11/13
1977-12-13T00:00:00Z,12,20.563835,1977/12/13
1978-01-13T00:00:00Z,1,55.45689,1978/1/13
1978-02-13T00:00:00Z,2,80.05294,1978/2/13
1978-03-13T00:00:00Z,3,111.36479,1978/3/13
1978-04-13T00:00:00Z,4,72.94683,1978/4/13
1978-05-13T00:00:00Z,5,57.01568,1978/5/13
1978-06-13T00:00:00Z,6,31.798334,1978/6/13
1978-07-13T00:00:00Z,7,6.3366375,1978/7/13
1978-08-13T00:00:00Z,8,3.477914,1978/8/13
1978-09-13T00:00:00Z,9,36.286263,1978/9/13
1978-10-13T00:00:00Z,10,19.73948,1978/10/13
1978-11-13T00:00:00Z,11,61.269707,1978/11/13
1978-12-13T00:00:00Z,12,96.433525,1978/12/13
1979-01-13T00:00:00Z,1,107.65087,1979/1/13
1979-02-13T00:00:00Z,2,48.83829,1979/2/13
1979-03-13T00:00:00Z,3,84.382416,1979/3/13
1979-04-13T00:00:00Z,4,81.763,1979/4/13
1979-05-13T00:00:00Z,5,75.42622,1979/5/13
1979-06-13T00:00:00Z,6,8.238618,1979/6/13
1979-07-13T00:00:00Z,7,6.9269986,1979/7/13
1979-08-13T00:00:00Z,8,6.0279922,1979/8/13
1979-09-13T00:00:00Z,9,8.6212845,1979/9/13
1979-10-13T00:00:00Z,10,2.5579453,1979/10/13
1979-11-13T00:00:00Z,11,51.41033,1979/11/13
1979-12-13T00:00:00Z,12,133.82599,1979/12/13
1980-01-13T00:00:00Z,1,106.505066,1980/1/13
1980-02-13T00:00:00Z,2,92.3391,1980/2/13
1980-03-12T00:00:00Z,3,217.6438,1980/3/12
1980-04-12T00:00:00Z,4,101.39608,1980/4/12
1980-05-12T00:00:00Z,5,36.98877,1980/5/12
1980-06-12T00:00:00Z,6,3.0169015,1980/6/12
1980-07-12T00:00:00Z,7,11.577005,1980/7/12
1980-08-12T00:00:00Z,8,2.5434034,1980/8/12
1980-09-12T00:00:00Z,9,8.578193,1980/9/12
1980-10-12T00:00:00Z,10,34.00656,1980/10/12
1980-11-12T00:00:00Z,11,25.122139,1980/11/12
1980-12-12T00:00:00Z,12,114.19421,1980/12/12
1981-01-12T00:00:00Z,1,74.62837,1981/1/12
1981-02-12T00:00:00Z,2,51.475586,1981/2/12
1981-03-12T00:00:00Z,3,21.69323,1981/3/12
1981-04-12T00:00:00Z,4,70.21119,1981/4/12
