TIMESTEP,Month,Max,Min,Mean
1970-01-15T00:00:00Z,1,286.86826,276.41327,281.640765
1970-02-15T00:00:00Z,2,285.47723,273.3853,279.431265
1970-03-15T00:00:00Z,3,290.62692,276.88086,283.75389
1970-04-15T00:00:00Z,4,290.53772,276.59677,283.567245
1970-05-15T00:00:00Z,5,295.29138,280.49384,287.89261
1970-06-15T00:00:00Z,6,300.74728,283.9092,292.32824
1970-07-15T00:00:00Z,7,304.56635,286.97018,295.768265
1970-08-15T00:00:00Z,8,305.45288,288.17145,296.812165
1970-09-15T00:00:00Z,9,302.3576,285.90802,294.13281
1970-10-15T00:00:00Z,10,299.15213,283.35577,291.25395
1970-11-15T00:00:00Z,11,288.58487,276.32373,282.4543
1970-12-15T00:00:00Z,12,289.7796,276.16153,282.970565
1971-01-15T00:00:00Z,1,288.31094,276.91736,282.61415
1971-02-15T00:00:00Z,2,287.9713,276.1123,282.0418
1971-03-15T00:00:00Z,3,288.57806,276.4466,282.51233
1971-04-15T00:00:00Z,4,290.3452,276.00677,283.175985
1971-05-15T00:00:00Z,5,298.90625,283.03387,290.97006
1971-06-15T00:00:00Z,6,299.9474,283.85275,291.900075
1971-07-15T00:00:00Z,7,305.97897,288.39435,297.18666
1971-08-15T00:00:00Z,8,305.2162,287.92188,296.56904
1971-09-15T00:00:00Z,9,302.5051,285.6901,294.0976
1971-10-15T00:00:00Z,10,296.7901,283.3818,290.08595
1971-11-15T00:00:00Z,11,284.6545,274.42947,279.541985
1971-12-15T00:00:00Z,12,281.93314,271.02966,276.4814
1972-01-15T00:00:00Z,1,283.15308,272.29678,277.72493
1972-02-15T00:00:00Z,2,289.63727,275.35977,282.49852
1972-03-14T00:00:00Z,3,287.6893,274.79675,281.243025
1972-04-14T00:00:00Z,4,294.2865,279.24738,286.76694
1972-05-14T00:00:00Z,5,296.68433,280.46893,288.57663
1972-06-14T00:00:00Z,6,304.60754,287.15634,295.88194
1972-07-14T00:00:00Z,7,305.2197,287.6364,296.42805
1972-08-14T00:00:00Z,8,303.2317,285.8361,294.5339
1972-09-14T00:00:00Z,9,302.5391,284.45154,293.49532
1972-10-14T00:00:00Z,10,294.31,280.22635,287.268175
1972-11-14T00:00:00Z,11,290.37955,279.05405,284.7168
1972-12-14T00:00:00Z,12,284.27234,274.32068,279.29651
1973-01-14T00:00:00Z,1,286.0162,276.74478,281.38049
1973-02-14T00:00:00Z,2,285.5556,274.94617,280.250885
1973-03-14T00:00:00Z,3,289.33154,276.10568,282.71861
1973-04-14T00:00:00Z,4,295.26196,279.62714,287.44455
1973-05-14T00:00:00Z,5,299.0312,282.99847,291.014835
